Date, 1, 2, 3, 4, 5, 6, 7, 8
1981-10-01,.00,.00,.00,.00,.00,.00,.00,.00
1981-10-02,1.50,1.49,.19,1.15,.83,.60,.46,.43
1981-10-03,5.19,5.04,.69,3.80,2.72,1.94,1.45,1.36
1981-10-04,3.14,3.11,.42,2.35,1.68,1.20,.90,.84
1981-10-05,8.02,7.81,1.06,5.91,4.23,3.03,2.26,2.13
1981-10-06,7.98,7.85,1.07,5.93,4.23,3.03,2.25,2.12
1981-10-07,62.40,60.35,8.20,45.68,32.65,23.40,17.45,16.41
1981-10-08,50.09,49.20,6.74,37.15,26.52,18.97,14.12,13.26
1981-10-09,46.36,45.72,6.29,34.47,24.60,17.58,13.07,12.27
1981-10-10,92.83,90.70,12.33,68.65,49.05,35.14,26.20,24.64
1981-10-11,66.43,65.65,9.02,49.50,35.33,25.21,18.73,17.58
1981-10-12,54.22,53.71,7.43,40.40,28.82,20.52,15.22,14.26
1981-10-13,46.89,46.44,6.45,34.88,24.87,17.67,13.09,12.26
1981-10-14,40.76,40.36,5.63,30.27,21.58,15.31,11.33,10.60
1981-10-15,35.60,35.25,4.93,26.41,18.82,13.34,9.85,9.21
1981-10-16,31.21,30.90,4.33,23.13,16.48,11.67,8.61,8.04
1981-10-17,27.47,27.19,3.82,20.34,14.48,10.25,7.55,7.05
1981-10-18,24.25,24.00,3.38,17.94,12.77,9.03,6.64,6.20
1981-10-19,21.46,21.24,2.99,15.87,11.30,7.98,5.87,5.47
1981-10-20,19.04,18.85,2.66,14.07,10.02,7.07,5.19,4.84
1981-10-21,16.93,16.76,2.37,12.51,8.90,6.28,4.61,4.30
1981-10-22,15.09,14.93,2.11,11.14,7.93,5.59,4.09,3.82
1981-10-23,13.46,13.32,1.88,9.94,7.07,4.98,3.65,3.40
1981-10-24,12.04,11.91,1.68,8.88,6.32,4.45,3.25,3.03
1981-10-25,10.77,10.66,1.51,7.95,5.66,3.98,2.91,2.71
1981-10-26,9.65,9.55,1.35,7.12,5.07,3.57,2.60,2.42
1981-10-27,20.49,19.95,2.74,15.03,10.71,7.59,5.57,5.22
1981-10-28,443.13,437.54,30.39,381.74,300.12,123.46,52.57,49.61
1981-10-29,743.75,739.38,56.22,635.80,463.13,199.60,76.63,73.58
1981-10-30,450.64,448.53,42.09,370.82,248.12,123.62,56.16,53.84
1981-10-31,329.93,328.72,32.95,267.85,173.14,88.72,41.85,40.03
1981-11-01,283.91,282.85,29.08,228.86,144.95,74.89,35.73,34.18
1981-11-02,247.16,246.21,25.77,198.15,123.46,64.28,30.73,29.40
1981-11-03,219.01,218.17,23.10,174.90,107.58,56.26,26.72,25.58
1981-11-04,197.22,196.46,20.94,157.10,95.64,50.06,23.49,22.50
1981-11-05,179.12,178.43,19.10,142.42,85.99,44.99,20.80,19.94
1981-11-06,164.20,163.58,17.54,130.41,78.22,40.85,18.55,17.80
1981-11-07,151.69,151.12,16.19,120.42,71.85,37.41,16.66,16.00
1981-11-08,141.14,140.63,15.03,112.06,66.59,34.54,15.06,14.48
1981-11-09,132.22,131.76,14.03,105.03,62.19,32.11,13.71,13.19
1981-11-10,137.27,136.49,14.56,108.69,64.53,33.75,15.05,14.51
1981-11-11,161.07,159.85,17.24,127.08,76.31,40.77,19.49,18.84
1981-11-12,448.94,445.14,46.30,357.94,229.40,121.20,60.97,59.70
1981-11-13,1113.92,1106.78,116.22,886.69,580.95,303.41,160.42,158.39
1981-11-14,2212.22,2200.13,241.96,1735.59,1133.81,613.61,353.64,350.77
1981-11-15,3321.87,3304.01,392.65,2542.75,1641.73,938.93,565.21,561.36
1981-11-16,7877.81,7833.16,943.11,5973.78,3866.09,2352.96,1457.10,1446.07
1981-11-17,8153.88,8102.19,1044.72,6061.26,3833.88,2409.53,1513.68,1494.85
1981-11-18,4199.70,4169.16,603.42,3019.98,1875.42,1221.18,790.47,776.31
1981-11-19,2888.77,2866.60,426.07,2057.11,1282.37,836.60,549.88,538.49
1981-11-20,2675.69,2654.70,386.61,1917.24,1201.07,781.73,513.39,501.74
1981-11-21,3422.52,3396.01,467.36,2496.41,1581.02,1024.37,665.97,650.23
1981-11-22,3170.32,3144.82,433.22,2309.10,1473.90,962.17,635.82,619.01
1981-11-23,4582.79,4547.52,585.26,3406.60,2201.45,1427.93,936.50,910.47
1981-11-24,4575.47,4538.01,587.40,3390.80,2197.53,1448.91,968.72,938.03
1981-11-25,3076.80,3048.42,417.90,2239.57,1464.28,983.79,677.73,652.08
1981-11-26,3871.68,3835.25,501.54,2858.34,1865.92,1242.75,843.27,810.51
1981-11-27,4548.54,4506.08,576.23,3380.46,2212.64,1468.52,995.21,954.54
1981-11-28,2779.39,2752.40,376.16,2024.43,1346.51,914.13,640.64,609.23
1981-11-29,2332.43,2309.51,316.41,1698.39,1135.90,769.10,538.94,510.61
1981-11-30,2022.99,2002.86,274.32,1473.55,989.76,668.50,467.61,441.68
1981-12-01,1813.25,1794.91,244.17,1323.85,891.74,600.99,419.63,395.48
1981-12-02,1739.29,1721.59,231.83,1273.88,858.93,577.55,401.84,378.17
1981-12-03,1649.30,1632.48,218.16,1211.01,818.58,549.61,382.04,359.07
1981-12-04,1455.18,1440.11,192.79,1067.73,725.50,487.49,339.35,318.36
1981-12-05,1325.74,1311.76,175.45,973.02,662.96,445.75,310.16,290.66
